## TIME[s], TIMEDEL[s], COUNTS, ERROR 
# TIME is in MET
"4.312626040000E+08","1.000000000000E+01","20","4.472136E+00"
"4.312626140000E+08","1.000000000000E+01","26","5.099020E+00"
"4.312626240000E+08","1.000000000000E+01","21","4.582576E+00"
"4.312626340000E+08","1.000000000000E+01","29","5.385165E+00"
"4.312626440000E+08","1.000000000000E+01","21","4.582576E+00"
"4.312626540000E+08","1.000000000000E+01","10","4.278719E+00"
"4.312626640000E+08","1.000000000000E+01","21","4.582576E+00"
"4.312626740000E+08","1.000000000000E+01","10","4.278719E+00"
"4.312626840000E+08","1.000000000000E+01","22","4.690416E+00"
"4.312626940000E+08","1.000000000000E+01","27","5.196152E+00"
"4.312627040000E+08","1.000000000000E+01","24","4.898980E+00"
"4.312627140000E+08","1.000000000000E+01","26","5.099020E+00"
"4.312627240000E+08","1.000000000000E+01","14","3.741657E+00"
"4.312627340000E+08","1.000000000000E+01","17","4.123106E+00"
"4.312627440000E+08","1.000000000000E+01","27","5.196152E+00"
"4.312627540000E+08","1.000000000000E+01","30","5.477226E+00"
"4.312627640000E+08","1.000000000000E+01","28","5.291502E+00"
"4.312627740000E+08","1.000000000000E+01","21","4.582576E+00"
"4.312627840000E+08","1.000000000000E+01","22","4.690416E+00"
"4.312627940000E+08","1.000000000000E+01","17","4.123106E+00"
"4.312628040000E+08","1.000000000000E+01","20","4.472136E+00"
"4.312628140000E+08","1.000000000000E+01","23","4.795832E+00"
"4.312628240000E+08","1.000000000000E+01","27","5.196152E+00"
"4.312628340000E+08","1.000000000000E+01","20","4.472136E+00"
"4.312628440000E+08","1.000000000000E+01","24","4.898980E+00"
"4.312628540000E+08","1.000000000000E+01","15","3.872983E+00"
"4.312628640000E+08","1.000000000000E+01","21","4.582576E+00"
"4.312628740000E+08","1.000000000000E+01","18","4.242640E+00"
"4.312628840000E+08","1.000000000000E+01","25","5.000000E+00"
"4.312628940000E+08","1.000000000000E+01","21","4.582576E+00"
"4.312629040000E+08","1.000000000000E+01","22","4.690416E+00"
"4.312629140000E+08","1.000000000000E+01","19","4.358899E+00"
"4.312629240000E+08","1.000000000000E+01","21","4.582576E+00"
"4.312629340000E+08","1.000000000000E+01","19","4.358899E+00"
"4.312629440000E+08","1.000000000000E+01","20","4.472136E+00"
"4.312629540000E+08","1.000000000000E+01","17","4.123106E+00"
"4.312629640000E+08","1.000000000000E+01","15","3.872983E+00"
"4.312629740000E+08","1.000000000000E+01","16","4.000000E+00"
"4.312629840000E+08","1.000000000000E+01","18","4.242640E+00"
"4.312629940000E+08","1.000000000000E+01","10","4.278719E+00"
"4.312630040000E+08","1.000000000000E+01","12","3.464102E+00"
"4.312630140000E+08","1.000000000000E+01","11","3.316625E+00"
"4.312630240000E+08","1.000000000000E+01","14","3.741657E+00"
"4.312630340000E+08","1.000000000000E+01","11","3.316625E+00"
"4.312630440000E+08","1.000000000000E+01","18","4.242640E+00"
"4.312630540000E+08","1.000000000000E+01","10","4.278719E+00"
"4.312630640000E+08","1.000000000000E+01","9","4.122499E+00"
"4.312630740000E+08","1.000000000000E+01","2","2.658312E+00"
"4.312630840000E+08","1.000000000000E+01","11","3.316625E+00"
"4.312630940000E+08","1.000000000000E+01","10","4.278719E+00"
"4.312631040000E+08","1.000000000000E+01","7","3.783882E+00"
"4.312631140000E+08","1.000000000000E+01","12","3.464102E+00"
"4.312631240000E+08","1.000000000000E+01","10","4.278719E+00"
"4.312631340000E+08","1.000000000000E+01","6","3.598076E+00"
"4.312631440000E+08","1.000000000000E+01","3","2.936492E+00"
"4.312631540000E+08","1.000000000000E+01","5","3.397916E+00"
"4.312631640000E+08","1.000000000000E+01","6","3.598076E+00"
"4.312631740000E+08","1.000000000000E+01","3","2.936492E+00"
"4.312631840000E+08","1.000000000000E+01","2","2.658312E+00"
"4.312631940000E+08","1.000000000000E+01","3","2.936492E+00"
"4.312632040000E+08","1.000000000000E+01","6","3.598076E+00"
"4.312632140000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312632240000E+08","1.000000000000E+01","1","2.322876E+00"
"4.312632340000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312632440000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312632540000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312632640000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312632740000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312632840000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312632940000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312633040000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312633140000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312633240000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312633340000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312633440000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312633540000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312633640000E+08","1.000000000000E+01","0","1.866025E+00"
"4.312633720000E+08","6.000000000000E+00","0","1.866025E+00"
